Tributary,Year,Woody,Non-Woody
Waal,1997,4722.493913529,67064.28097532
Waal,2005,6606.725458029,65016.03747554
Waal,2008,6359.212566259,56162.7594261
Waal,2012,6484.1475808,54079.9845085
Nederrijn/Lek,1997,1982.02261449,68705.0096053
Nederrijn/Lek,2005,2064.02865656,63704.2680717
Nederrijn/Lek,2008,2315.52357852,61677.4509754
Nederrijn/Lek,2012,2798.67789824,59641.8147357
IJssel,1997,3953.84705316991,95381.99026273
IJssel,2005,4069.31169539991,88918.428138205
IJssel,2008,4345.03193008991,86445.145766399
IJssel,2012,4343.15586248,81843.7032645947